target,feature,top1_rate,rest99_rate,lift,pvalue
target_3_4,num_feature_16,0.0033849420153424,5.0249993718750786e-05,67.36203857632142,2.4174610121369374e-40
target_6_5,num_feature_57,0.0273972602739726,0.0006023088505939434,45.48706240487062,0.0009771674773123328
target_3_5,num_feature_23,0.05825242718446602,0.0013404526261701034,43.45728155339806,4.2508245819845207e-16
target_3_5,num_feature_71,0.05921052631578947,0.0013731356613378583,43.1206675224647,1.9197863565951108e-12
target_3_5,num_feature_76,0.04342857142857143,0.0010579271380820007,41.05062613981762,1.4291712246654942e-44
target_6_5,num_feature_25,0.018779342723004695,0.00058090822767134,32.327555074033945,1.0291877120117938e-05
target_6_5,num_feature_87,0.016241299303944315,0.0005487306404470475,29.59794497845542,1.0640323434564104e-08
target_2_7,num_feature_42,0.005208333333333333,0.00018986776268763403,27.431372549019606,0.03782730684277537
target_2_7,num_feature_8,0.004524886877828055,0.0001684163251557851,26.867269984917048,0.000301680266740814
target_3_4,num_feature_88,0.043689320388349516,0.0018096110453296396,24.142934196332256,2.997958982217642e-10
target_3_4,num_feature_23,0.043689320388349516,0.0018096110453296396,24.142934196332256,2.997958982217642e-10
target_2_3,num_feature_56,0.019337016574585635,0.0013651724369446994,14.164523141019833,1.0758825476712612e-06
target_9_4,num_feature_103,0.021711366538952746,0.0016189780201247962,13.410538172271888,9.953251227840402e-14
target_2_7,num_feature_58,0.00228310502283105,0.00018007473101337056,12.678652968036529,0.013132839751389406
target_3_3,num_feature_127,0.0125,0.0010383172561629153,12.038709677419355,0.01265755726741394
target_9_4,num_feature_127,0.01875,0.001764022865309039,10.629113924050634,0.0030906804601341683
target_7_3,num_feature_54,0.0390625,0.0040736607142857146,9.58904109589041,0.0002026614001060692
target_1_5,num_feature_101,0.00240036231884058,0.00025544959128065393,9.396618357487924,9.727505622521748e-15
target_1_5,num_feature_113,0.00240036231884058,0.00025544959128065393,9.396618357487924,9.727505622521748e-15
target_3_3,num_feature_23,0.009708737864077669,0.0010388507852818302,9.345651946967322,0.020363050879028823
target_3_3,num_feature_88,0.009708737864077669,0.0010388507852818302,9.345651946967322,0.020363050879028823
target_2_3,num_feature_4,0.012903225806451613,0.001417837964565215,9.100635001270003,0.021211466196425884
target_7_3,num_feature_121,0.03468208092485549,0.004064541343308582,8.532839992377562,9.029005983667739e-05
target_2_3,num_feature_121,0.011560693641618497,0.0014181229412093127,8.152109599016885,0.02600436078663626
target_7_3,num_feature_119,0.03125,0.0039581090778615,7.895184135977337,1.95413469092447e-10
target_2_5,num_feature_63,0.012903225806451613,0.001708104004554944,7.554121863799283,0.02978684690111106
target_2_5,num_feature_91,0.0125,0.0017081993569131833,7.317647058823529,0.03156978986993498
target_2_6,num_feature_63,0.03225806451612903,0.004577272169068804,7.04744295830055,0.0008179331356100207
target_9_4,num_feature_39,0.0125,0.00177518756698821,7.041509433962265,0.03383543381446369
target_2_8,num_feature_70,0.0004621072088724584,6.904551480335838e-05,6.6927911275415894,0.0009691294529257076
target_9_1,num_feature_54,0.0234375,0.003604910714285714,6.5015479876160995,0.011613105179897325
target_2_6,num_feature_57,0.0273972602739726,0.0046065473202833085,5.947460943978241,0.0452195605746517
target_1_5,num_feature_8,0.00904977375565611,0.001785213046651322,5.069296223569254,0.00151042591363335
target_2_5,num_feature_131,0.008389261744966443,0.001682897275950276,4.9850111856823265,0.003927947017996113
target_1_2,num_feature_132,0.016304347826086956,0.0032856373912263388,4.962308947915121,0.00012329033126669758
target_1_2,num_feature_113,0.0042421497584541066,0.0008940735694822888,4.744743501265241,7.23782737698296e-18
target_1_2,num_feature_101,0.0042421497584541066,0.0008940735694822888,4.744743501265241,7.23782737698296e-18
target_2_6,num_feature_131,0.020134228187919462,0.004521384014719742,4.453111729145502,2.740211775242826e-05
target_9_1,num_feature_93,0.004130973029512625,0.0009858460671783678,4.190281999436341,4.536443173781127e-11
target_5_2,num_feature_107,0.010723860589812333,0.0025628112584634324,4.184412938876336,0.016728909921659523
target_9_1,num_feature_92,0.013961605584642234,0.0035668218271549547,3.9142985720087373,0.0013073654603295323
target_5_2,num_feature_8,0.00904977375565611,0.002548700387357548,3.550740526641019,0.008111657515188
target_5_2,num_feature_6,0.007886435331230283,0.002559094888544683,3.0817283745641704,0.0256561467712286
