target_a,target_b,corr,co_count,co_rate,expected_independent_rate,pair_lift
target_1_1,target_1_2,-0.001959084836233675,18,2.4e-05,3.560976533333333e-05,0.6739724279377447
target_1_1,target_1_3,0.004101657118014131,233,0.00031066666666666666,0.00024727232533333334,1.2563745912441884
target_1_1,target_1_4,0.04608740989587969,713,0.0009506666666666667,0.00024357134933333335,3.90303157275553
target_1_1,target_1_5,0.0014311123435374296,19,2.5333333333333334e-05,1.9114778666666668e-05,1.3253270558403536
target_1_1,target_2_1,-0.0011384170577936467,48,6.4e-05,7.3686848e-05,0.8685403397903517
target_1_1,target_2_2,-0.007495379522995394,108,0.000144,0.00026349008533333335,0.5465101270047029
target_1_1,target_2_3,-0.0031150170497763452,2,2.666666666666667e-06,1.4429648e-05,0.18480469285644854
target_1_1,target_2_4,0.0018172804624662657,71,9.466666666666667e-05,7.869078933333334e-05,1.2030209312764635
target_1_1,target_2_5,-0.0002335824394319323,14,1.8666666666666665e-05,1.969695466666667e-05,0.9476930308549896
target_1_1,target_2_6,-0.0024527562521587617,22,2.9333333333333333e-05,4.581170666666667e-05,0.6403021294702547
target_1_1,target_2_7,-0.00027197595433416707,2,2.666666666666667e-06,3.146522666666667e-06,0.8474964108527
target_1_1,target_2_8,-0.0010782882212000127,0,0.0,1.1504906666666669e-06,0.0
target_1_1,target_3_1,0.003662794655540284,850,0.0011333333333333334,0.0010226891733333334,1.1081894312417218
target_1_1,target_3_2,-0.024449790527864414,208,0.0002773333333333333,0.0010126674293333335,0.2738641782089401
target_1_1,target_3_3,-0.00047821728827255667,8,1.0666666666666667e-05,1.2336586666666666e-05,0.8646367877014064
target_1_1,target_3_4,-0.003341505704906305,4,5.333333333333334e-06,2.0292992000000002e-05,0.2628165099229001
target_1_1,target_3_5,-0.0024637371930380657,4,5.333333333333334e-06,1.4734597333333334e-05,0.3619598970151701
target_1_1,target_4_1,-0.007522310954749799,12,1.6e-05,8.451254933333335e-05,0.18932099583096232
target_1_1,target_5_1,-0.0042157509210766445,42,5.6e-05,9.714022400000001e-05,0.5764862144027998
target_1_1,target_5_2,-0.0015482310117838163,14,1.8666666666666665e-05,2.6599898666666667e-05,0.7017570593251382
target_1_1,target_6_1,0.005079020590017143,105,0.00014,9.180361066666668e-05,1.5249944853294657
