target,feature,pearson_corr,abs_corr,feature_type,source,null_rate
target_10_1,cat_feature_48,0.19969025254249573,0.19969025254249573,cat,main,0.0
target_10_1,cat_feature_46,0.1744278073310852,0.1744278073310852,cat,main,0.0
target_10_1,cat_feature_52,0.1720268428325653,0.1720268428325653,cat,main,0.0
target_10_1,cat_feature_21,0.16918621957302094,0.16918621957302094,cat,main,0.0
target_10_1,num_feature_36,-0.16272076964378357,0.16272076964378357,num,main,0.16243733333333332
target_10_1,cat_feature_65,0.15971606969833374,0.15971606969833374,cat,main,0.0
target_10_1,cat_feature_44,0.15796296298503876,0.15796296298503876,cat,main,0.0
target_10_1,cat_feature_13,0.15774577856063843,0.15774577856063843,cat,main,0.0
target_10_1,cat_feature_26,0.15774577856063843,0.15774577856063843,cat,main,0.0
target_10_1,cat_feature_56,0.15561802685260773,0.15561802685260773,cat,main,0.0
target_10_1,cat_feature_66,0.14287319779396057,0.14287319779396057,cat,main,0.0
target_10_1,cat_feature_2,0.14126145839691162,0.14126145839691162,cat,main,0.0
target_10_1,cat_feature_25,0.14126145839691162,0.14126145839691162,cat,main,0.0
target_10_1,cat_feature_9,0.13928267359733582,0.13928267359733582,cat,main,0.0
target_10_1,cat_feature_33,0.13663053512573242,0.13663053512573242,cat,main,0.0
target_10_1,cat_feature_11,0.12963685393333435,0.12963685393333435,cat,main,0.0
target_10_1,cat_feature_12,0.12932144105434418,0.12932144105434418,cat,main,0.0
target_10_1,cat_feature_36,0.12763412296772003,0.12763412296772003,cat,main,0.0
target_10_1,cat_feature_39,0.12669673562049866,0.12669673562049866,cat,main,0.0
target_10_1,num_feature_367,-0.12622974812984467,0.12622974812984467,num,extra,0.240828
target_10_1,cat_feature_49,0.12008538842201233,0.12008538842201233,cat,main,0.0
target_10_1,num_feature_2064,-0.11711351573467255,0.11711351573467255,num,extra,0.16243733333333332
target_10_1,num_feature_24,0.11332187056541443,0.11332187056541443,num,main,0.16243733333333332
target_10_1,num_feature_2350,-0.10916402190923691,0.10916402190923691,num,extra,0.21333733333333332
target_10_1,cat_feature_32,0.1078633964061737,0.1078633964061737,cat,main,0.0
target_10_1,num_feature_524,-0.10362045466899872,0.10362045466899872,num,extra,0.16243733333333332
target_10_1,num_feature_1984,-0.0998552069067955,0.0998552069067955,num,extra,0.009646666666666666
target_10_1,num_feature_348,-0.09897351264953613,0.09897351264953613,num,extra,0.16210533333333332
target_10_1,num_feature_1592,-0.09534855931997299,0.09534855931997299,num,extra,0.07530533333333334
target_10_1,num_feature_2220,-0.09383165091276169,0.09383165091276169,num,extra,0.16243733333333332
target_10_1,num_feature_512,-0.09365066140890121,0.09365066140890121,num,extra,0.21333733333333332
target_10_1,num_feature_126,-0.09346722066402435,0.09346722066402435,num,main,0.16243733333333332
target_10_1,num_feature_2034,-0.09256390482187271,0.09256390482187271,num,extra,0.214536
target_10_1,cat_feature_35,0.08795075863599777,0.08795075863599777,cat,main,0.0
target_10_1,num_feature_305,0.08788777887821198,0.08788777887821198,num,extra,0.2624533333333333
target_10_1,num_feature_1179,-0.08564397692680359,0.08564397692680359,num,extra,0.21333733333333332
target_10_1,num_feature_1912,-0.084767647087574,0.084767647087574,num,extra,0.004286666666666667
target_10_1,num_feature_2370,-0.08461220562458038,0.08461220562458038,num,extra,0.004286666666666667
target_10_1,cat_feature_20,0.08352796733379364,0.08352796733379364,cat,main,0.0
target_10_1,cat_feature_24,0.08352796733379364,0.08352796733379364,cat,main,0.0
target_10_1,num_feature_787,-0.08191628754138947,0.08191628754138947,num,extra,0.004286666666666667
target_10_1,cat_feature_40,0.0784759670495987,0.0784759670495987,cat,main,0.0
target_10_1,cat_feature_10,0.07765745371580124,0.07765745371580124,cat,main,0.0
target_10_1,num_feature_540,-0.07639890164136887,0.07639890164136887,num,extra,0.16210533333333332
target_10_1,num_feature_2147,-0.07522284984588623,0.07522284984588623,num,extra,0.16210533333333332
target_10_1,num_feature_130,-0.07383856177330017,0.07383856177330017,num,main,0.41347333333333336
target_10_1,cat_feature_61,0.07379216700792313,0.07379216700792313,cat,main,0.0
target_10_1,num_feature_1245,-0.07372135668992996,0.07372135668992996,num,extra,0.21333733333333332
target_10_1,num_feature_1815,-0.07291076332330704,0.07291076332330704,num,extra,0.004286666666666667
target_10_1,num_feature_201,-0.0711171105504036,0.0711171105504036,num,extra,0.240828
target_10_1,num_feature_41,-0.07009441405534744,0.07009441405534744,num,main,0.064324
target_10_1,num_feature_446,-0.0695527046918869,0.0695527046918869,num,extra,0.16243733333333332
target_10_1,num_feature_342,-0.06907535344362259,0.06907535344362259,num,extra,0.214536
target_10_1,num_feature_33,-0.06839995831251144,0.06839995831251144,num,main,0.392892
target_10_1,num_feature_854,-0.06825009733438492,0.06825009733438492,num,extra,0.16243733333333332
target_10_1,cat_feature_27,0.06648623198270798,0.06648623198270798,cat,main,0.0
target_10_1,cat_feature_63,0.06648623198270798,0.06648623198270798,cat,main,0.0
target_10_1,cat_feature_15,0.06583018600940704,0.06583018600940704,cat,main,0.0
target_10_1,num_feature_7,-0.06556291878223419,0.06556291878223419,num,main,0.29704933333333333
target_10_1,num_feature_458,-0.06476173549890518,0.06476173549890518,num,extra,0.21333733333333332
target_10_1,cat_feature_37,0.0647272914648056,0.0647272914648056,cat,main,0.0
target_10_1,num_feature_1641,-0.06424035876989365,0.06424035876989365,num,extra,0.21333733333333332
target_10_1,cat_feature_53,0.06409066170454025,0.06409066170454025,cat,main,0.0
target_10_1,cat_feature_4,0.06353169679641724,0.06353169679641724,cat,main,0.0
target_10_1,num_feature_223,-0.06282860040664673,0.06282860040664673,num,extra,0.16210533333333332
target_10_1,num_feature_719,-0.061996351927518845,0.061996351927518845,num,extra,0.240828
target_10_1,num_feature_655,-0.06160733848810196,0.06160733848810196,num,extra,0.21333733333333332
target_10_1,cat_feature_55,0.06044365093111992,0.06044365093111992,cat,main,0.0
target_10_1,cat_feature_19,0.060234151780605316,0.060234151780605316,cat,main,0.0
target_10_1,cat_feature_7,0.05834125727415085,0.05834125727415085,cat,main,0.0
target_10_1,cat_feature_47,0.058278657495975494,0.058278657495975494,cat,main,0.0
target_10_1,cat_feature_60,0.05819164961576462,0.05819164961576462,cat,main,0.0
target_10_1,cat_feature_8,0.05795712769031525,0.05795712769031525,cat,main,0.0
target_10_1,cat_feature_3,0.057921186089515686,0.057921186089515686,cat,main,0.0
target_10_1,num_feature_116,-0.05783988535404205,0.05783988535404205,num,main,0.29704933333333333
target_10_1,cat_feature_62,0.0577179417014122,0.0577179417014122,cat,main,0.0
target_10_1,cat_feature_42,0.057653751224279404,0.057653751224279404,cat,main,0.0
target_10_1,cat_feature_18,0.057558778673410416,0.057558778673410416,cat,main,0.0
target_10_1,cat_feature_30,0.057448916137218475,0.057448916137218475,cat,main,0.0
target_10_1,cat_feature_38,0.05744260177016258,0.05744260177016258,cat,main,0.0
target_10_1,cat_feature_67,0.05737319961190224,0.05737319961190224,cat,main,0.0
target_10_1,cat_feature_17,0.05732152238488197,0.05732152238488197,cat,main,0.0
target_10_1,cat_feature_1,0.05731397867202759,0.05731397867202759,cat,main,0.0
target_10_1,cat_feature_57,0.057298582047224045,0.057298582047224045,cat,main,0.0
target_10_1,cat_feature_23,0.05728944391012192,0.05728944391012192,cat,main,0.0
target_10_1,cat_feature_51,0.05728062614798546,0.05728062614798546,cat,main,0.0
target_10_1,cat_feature_43,0.05726005136966705,0.05726005136966705,cat,main,0.0
target_10_1,cat_feature_28,0.05719258636236191,0.05719258636236191,cat,main,0.0
target_10_1,cat_feature_64,0.05717618763446808,0.05717618763446808,cat,main,0.0
target_10_1,cat_feature_5,0.05717618390917778,0.05717618390917778,cat,main,0.0
target_10_1,cat_feature_31,0.05716439709067345,0.05716439709067345,cat,main,0.0
target_10_1,num_feature_115,0.05715121701359749,0.05715121701359749,num,main,0.6362346666666666
target_10_1,cat_feature_14,0.05714847519993782,0.05714847519993782,cat,main,0.0
target_10_1,cat_feature_29,0.05714847519993782,0.05714847519993782,cat,main,0.0
target_10_1,cat_feature_50,0.05714847519993782,0.05714847519993782,cat,main,0.0
target_10_1,cat_feature_59,0.05714847519993782,0.05714847519993782,cat,main,0.0
target_10_1,cat_feature_54,0.057134199887514114,0.057134199887514114,cat,main,0.0
target_10_1,num_feature_94,-0.0550166517496109,0.0550166517496109,num,main,0.2994
target_10_1,num_feature_68,-0.05479341000318527,0.05479341000318527,num,main,0.29704933333333333
target_10_1,num_feature_35,-0.054750893265008926,0.054750893265008926,num,main,0.31249866666666665
target_10_1,num_feature_176,-0.05424050986766815,0.05424050986766815,num,extra,0.240828
target_10_1,num_feature_131,-0.05385658144950867,0.05385658144950867,num,main,0.567732
target_10_1,num_feature_1219,-0.053421881049871445,0.053421881049871445,num,extra,0.240828
target_10_1,num_feature_2238,-0.052973613142967224,0.052973613142967224,num,extra,0.16243733333333332
target_10_1,num_feature_104,-0.05244939774274826,0.05244939774274826,num,main,0.2624533333333333
target_10_1,num_feature_119,-0.05230018496513367,0.05230018496513367,num,main,0.4356253333333333
target_10_1,num_feature_2020,-0.05202419310808182,0.05202419310808182,num,extra,0.240828
target_10_1,num_feature_56,-0.05179550498723984,0.05179550498723984,num,main,0.5959173333333333
target_10_1,num_feature_15,-0.051613692194223404,0.051613692194223404,num,main,0.2624533333333333
target_10_1,num_feature_1068,-0.05158336088061333,0.05158336088061333,num,extra,0.240828
target_10_1,num_feature_581,-0.049196887761354446,0.049196887761354446,num,extra,0.240828
target_10_1,num_feature_296,-0.04915129020810127,0.04915129020810127,num,extra,0.16243733333333332
target_10_1,num_feature_61,0.04764479398727417,0.04764479398727417,num,main,0.676472
target_10_1,num_feature_10,0.04738249257206917,0.04738249257206917,num,main,0.5559826666666666
target_10_1,num_feature_925,-0.04690594598650932,0.04690594598650932,num,extra,0.240828
target_10_1,num_feature_1263,-0.045754555612802505,0.045754555612802505,num,extra,0.009646666666666666
target_10_1,num_feature_1057,-0.043414823710918427,0.043414823710918427,num,extra,0.214536
target_10_1,num_feature_1523,-0.043289702385663986,0.043289702385663986,num,extra,0.240828
target_10_1,num_feature_1369,-0.043213970959186554,0.043213970959186554,num,extra,0.240828
target_10_1,cat_feature_41,0.04212202504277229,0.04212202504277229,cat,main,0.0
target_10_1,cat_feature_58,0.04198077693581581,0.04198077693581581,cat,main,0.0
